aarão,N004+Pr
aaron,N004+Pr
abacá,N001
ábaco,N001
abada,A101
abade,N208
abalo,N001
abano,N001
abate,N001
abati,N001
abbud,N306+Pr
abdus,N004+Pr
àbeça,ADV
abeta,N101
abete,N001
abeto,N001
abiel,N004+Pr
abita,N101
abner,N004+Pr
aboar,V013
aboio,N001
abono,N001
abrão,N004+Pr
abreu,N304+Pr
abril,N010
abrir,N004
abuso,N001
abuta,N101D029
acaçá,N001
acaju,N001
acapu,N001
acará,N001
acari,N001
ácaro,N001
acaso,ADV
acato,N001
acauã,N101
aceno,N001
aceso,A201
achar,N004
ácido,A201
acima,ADV
acolá,ADV
acuar,V005
açude,N001
adaga,N101
adail,N304+Pr
adair,N304+Pr
adams,N306+Pr
adega,N101
adelo,N001
adeus,N003D025
adiar,V005
adido,A201
admir,N004+Pr
adobe,N001
adolf,N004+Pr
aduar,V005
adubo,N001
adufa,N101
adufe,N001
advir,V085
aécio,N004+Pr
aéreo,A201
afago,N001
afear,V008
afeto,A201
afiar,V005
afilo,A201
afixo,A201
aflar,V005
afogo,N001
áfono,A201
afora,ADV
afoxé,N004
ágamo,A201
ágape,N101
ágata,N101
agave,N001
agnes,N106+Pr
agogô,N001
agora,ADV
ágora,N101
agrar,V005
aguaí,N104+Pr
aguar,V015
agude,N101
agudo,A201D081S53
águia,N301
aidar,N004+Pr
ainda,ADV
aipim,N008
airar,V005
aires,N306+Pr
ajeru,N001
ajuda,N101D086
ajuri,N001
alado,A201
alain,N004+Pr
álamo,N001
albor,N003
álbum,N008
alçar,V010
alceo,N004+Pr
alceu,N004+Pr
aldir,N306+Pr
aleia,A101
aléia,N101
alelo,N001
aleph,N004+Pr
alesi,N004+Pr
alexi,N004+Pr
alfar,V005
alfeu,N004+Pr
algoz,N003
algum,A233
aliar,V005
aliás,ADV
álibi,N001
alice,N104+Pr
alina,N104+Pr
aline,N104+Pr
allan,N004+Pr
allen,N004+Pr
almir,N004+Pr
alpes,N005+Pr
altar,N003
aluar,V005
alude,N001
aluir,V081
alume,N001
aluno,N201
álveo,N001
alves,N306+Pr
alvim,N004+Pr
alvin,N004+Pr
alvor,N003
amada,N104+Pr
amado,A201D081
âmago,N001
amaná,N101
amapá,N004+Pr
amaro,A201
amato,N306+Pr
âmbar,N003
ambos,A254
ambuá,N001
amear,V008
ameba,N101
ameia,N101
ameno,A201
amial,N007
amida,N101
amido,N001
amigo,A201D101S63A61
amina,N101
âmnio,N001
amojo,N001
amora,N101
amplo,A201S03
amuar,V005
anahí,N104+Pr
anais,N005
anajá,A301
ananá,N001
anani,N001
anato,N001
ancho,A201
andar,N003
andes,N005+Pr
